arɤmtʂɯmtʂaj _ar7mts`Mmts`aj
arɤmɯzda _ar7mMzda1
arɤzdɯzda _ar7zdMzda1
asɤmɯsɯz _as7mMsMz
arɤntɕhɯntɕhɯr _ar7nts\hMnts\hMr
tɯ-ntɕhɯr tM-nts\hMr1
arɤɲɟiɲɟi _ar7JJ\iJJ\i1
zrɤɲɟiɲɟi zr7JJ\iJJ\i
arɤɲɯɣ _ar7JMG
arɤphɤjqa _ar7ph7jqa
tɯ-qa tM-qa1
arɤrɤɣ _ar7r7G1
ɯ-rɤɣ M-r7G
arɤrkhɯrkhe _ar7rkhMrkhe
rkhe _rkhe
arɤrɴɢioʁ _ar7rN\G\ioR1
tɤ-rɴɢioʁ t7-rN\G\ioR1
arɤrqhɯrqhioʁ _ar7rqhMrqhioR
tɤ-rqhioʁ t7-rqhioR
arɤrtshɯm ar7rtshMm1
rɤrtshɯm _r7rtshMm
ɯ-rtshɯm M-rtshMm
arɤstoʁsta _ar7stoRsta1
ɲɟɯrmbloʁ _JJ\MrmbloR
arɤt ar7t1
rɤt _r7t1
arɤtɕha ar7ts\ha1
zrɤtɕha _zr7ts\ha
zrɤtshi _zr7tshi
arɤʑɯʑrɤz _ar7z\Mz\r7z
tɯ-ʑrɤz tM-z\r7z
arɣi _arGi1
sɤrɣi _s7rGi
ari _ari1
arju _arju1
sɤrju _s7rju
arɟambrɯɣ _arJ\ambrMG
rɟambrɯɣ rJ\ambrMG
arɟumtɕɤr _arJ\umts\7r1
tɕɤr _ts\7r
arku _arku1
arla arla1
rla _rla
arlɯrla _arlMrla1
sɤrlɯrla _s7rlMrla
arlɯt _arlMt1
dɤn _d7n1
xcat _xcat
sɤrmbat _s7rmbat
ʑɣɤsɤrmbat _z\G7s7rmbat
armbɯrmbɯ _armbMrmbM
rmbɯ _rmbM1
armɤjɯβ _arm7jMB
arndɤtsa _arnd7tsa
arɲɟɤle _arJJ\7le1
sɤrɲɟɤle _s7rJJ\7le
arŋɤrtɯm _arN7rtMm1
artɯm _artMm1
arŋi _arNi1
sɤrŋi _s7rNi
arŋɯlɯz _arNMlMz
sqlɯm _sqlMm
sɤrɴɢlɯm _s7rN\G\lMm
aro _aro1
mbarqhi mbarqhi1
sɤrqhi _s7rqhi
ʑɣɤsɤrqhi _z\G7s7rqhi
arqɯrqoʁ _arqMrqoR1
rqoʁ _rqoR1
arʁɯrʁu _arRMrRu1
sɤrʁɯrʁu _s7rRMrRu
ʑɣɤsɤrʁɯrʁu _z\G7s7rRMrRu
artaʁ _artaR1
jmɤrtaʁ jm7rtaR1
artaʁlaʁ artaRlaR1
rtaʁ _rtaR1
